iter	Passed	Remaining
0	0	75
1	1	81
2	2	72
3	2	66
4	3	72
5	4	68
6	4	65
7	5	62
8	6	61
9	6	61
10	7	61
11	8	60
12	8	58
13	9	57
14	10	58
15	11	58
16	12	58
17	12	57
18	13	57
19	14	56
20	14	56
21	15	55
22	16	55
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	49
32	24	48
33	25	48
34	25	47
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	41	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	73	0
